,code,function,country_full,nationality_code,height,weight,disciplines,events,medal_date,medal_type,medal_code,team,discipline,event,event_type
0,1532872,Athlete,Armenia,ARM,0,0.0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",8/7/2024,1,2.0,0,Wrestling,Men's Greco-Roman 97kg,HATH
1,1532873,Athlete,Armenia,ARM,0,0.0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",8/7/2024,1,3.0,0,Wrestling,Men's Greco-Roman 77kg,HATH
2,1532874,Athlete,Armenia,ARM,0,0.0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",0,0,0.0,0,0,0,0
3,1532944,Athlete,Armenia,ARM,0,0.0,['Wrestling'],"[""Men's Freestyle 57kg""]",0,0,0.0,0,0,0,0
4,1532945,Athlete,Armenia,ARM,0,0.0,['Wrestling'],"[""Men's Freestyle 65kg""]",0,0,0.0,0,0,0,0
5,1532951,Athlete,Colombia,COL,162,0.0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",0,0,0.0,0,0,0,0
6,1533112,Athlete,Jamaica,JAM,0,0.0,['Judo'],['Men -60 kg'],0,0,0.0,0,0,0,0
7,1533136,Athlete,Gambia,GAM,161,0.0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",0,0,0.0,0,0,0,0
8,1533176,Athlete,Gambia,GAM,178,0.0,['Athletics'],"[""Men's 100m""]",0,0,0.0,0,0,0,0
9,1533188,Athlete,Mexico,MEX,0,0.0,['Triathlon'],"[""Women's Individual""]",0,0,0.0,0,0,0,0
10,1533189,Athlete,Mexico,MEX,0,0.0,['Triathlon'],"[""Women's Individual""]",0,0,0.0,0,0,0,0
11,1533190,Athlete,Mexico,MEX,0,0.0,['Triathlon'],"[""Men's Individual""]",0,0,0.0,0,0,0,0
12,1533208,Athlete,Comoros,COM,183,0.0,['Athletics'],"[""Men's 100m""]",0,0,0.0,0,0,0,0
13,1533209,Athlete,Comoros,COM,0,0.0,['Swimming'],"[""Women's 50m Freestyle""]",0,0,0.0,0,0,0,0
14,1533230,Athlete,Mexico,MEX,0,0.0,['Artistic Swimming'],"['Team', 'Duet']",0,0,0.0,0,0,0,0
15,1533231,Athlete,Mexico,MEX,0,0.0,['Artistic Swimming'],"['Team', 'Duet']",0,0,0.0,0,0,0,0
16,1533232,Athlete,Mexico,MEX,0,0.0,['Artistic Swimming'],['Team'],0,0,0.0,0,0,0,0
17,1533234,Athlete,Mexico,MEX,0,0.0,['Artistic Swimming'],['Team'],0,0,0.0,0,0,0,0
18,1533235,Athlete,Mexico,MEX,0,0.0,['Artistic Swimming'],['Team'],0,0,0.0,0,0,0,0
