,Country Code,Country,Contry Full,Population 2024,Population 2023,Continent
0,AFG,Afghanistan,Afghanistan,43372950,42239854,Asia
1,AIN,AIN,AIN,,,
2,ALB,Albania,Albania,2826020,2832439,Europe
3,ALG,Algeria,Algeria,46278751,45606480,Africa
4,AND,Andorra,Andorra,80341,80088,Europe
5,ANG,Angola,Angola,37804634,36684202,Africa
6,ANT,Antigua and Barbuda,Antigua and Barbuda,94816,94298,North America
7,ARG,Argentina,Argentina,46057866,45773884,South America
8,ARM,Armenia,Armenia,2777979,2777970,Asia
9,ARU,Aruba,Aruba,106177,106277,South America
10,ASA,American Samoa,American Samoa,43544,43914,Oceania
11,AUS,Australia,Australia,26699482,26439111,Oceania
12,AUT,Austria,Austria,8977139,8958960,Europe
13,AZE,Azerbaijan,Azerbaijan,10462904,10412651,Asia
14,BAH,Bahamas,Bahamas,415223,412623,North America
15,BAN,Bangladesh,Bangladesh,174701211,172954319,Asia
16,BAR,Barbados,Barbados,282309,281995,North America
17,BDI,Burundi,Burundi,13591657,13238559,Africa
18,BEL,Belgium,Belgium,11715774,11686140,Europe
19,BEN,Benin,Benin,14080072,13712828,Africa
20,BER,Bermuda,Bermuda,63935,64069,North America
21,BHU,Bhutan,Bhutan,792382,787424,Asia
22,BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,,,Europe
23,BIZ,Belize,Belize,416656,410825,North America
24,BOL,Bolivia,Bolivia,12567336,12388571,South America
25,BOT,Botswana,Botswana,2719694,2675352,Africa
26,BRA,Brazil,Brazil,217637297,216422446,South America
27,BRN,Bahrain,Bahrain,1498712,1485509,Asia
28,BRU,Brunei Darussalam,Brunei Darussalam,,,Asia
29,BUL,Bulgaria,Bulgaria,6618615,6687717,Europe
30,BUR,Burkina Faso,Burkina Faso,23840247,23251485,Africa
31,CAF,Centr Afric Re,Central African Republic,,,Africa
32,CAM,Cambodia,Cambodia,17121847,16944826,Asia
33,CAN,Canada,Canada,39107046,38781291,North America
34,CAY,Cayman Islands,Cayman Islands,69885,69310,North America
35,CGO,Congo,Congo,,,Africa
36,CHA,Chad,Chad,18847148,18278568,Africa
37,CHI,Chile,Chile,19658839,19629590,South America
38,CHN,China,People's Republic of China,1425178782,1425671352,Asia
39,CIV,Côte d'Ivoire,Côte d'Ivoire,,,Africa
40,CMR,Cameroon,Cameroon,29394433,28647293,Africa
41,COD,DR Congo,Democratic Republic of the Congo,105625114,102262808,Africa
42,COK,Cook Islands,Cook Islands,17072,17044,Oceania
43,COL,Colombia,Colombia,52340774,52085168,South America
44,COM,Comoros,Comoros,867605,852075,Africa
45,CPV,Cabo Verde,Cabo Verde,,,Africa
46,CRC,Costa Rica,Costa Rica,5246714,5212173,North America
47,CRO,Croatia,Croatia,3986627,4008617,Europe
48,CUB,Cuba,Cuba,11174587,11194449,North America
49,CYP,Cyprus,Cyprus,1268467,1260138,Europe
50,CZE,Czechia,Czechia,,,Europe
51,DEN,Denmark,Denmark,5939695,5910913,Europe
52,DJI,Djibouti,Djibouti,1152329,1136455,Africa
53,DMA,Dominica,Dominica,73368,73040,North America
54,DOM,Dominican Republic,Dominican Republic,11434005,11332972,North America
55,ECU,Ecuador,Ecuador,18377367,18190484,South America
56,EGY,Egypt,Egypt,114484252,112716598,Africa
57,EOR,EOR,Refugee Olympic Team,,,
58,ERI,Eritrea,Eritrea,3817651,3748901,Africa
59,ESA,El Salvador,El Salvador,6396289,6364943,North America
60,ESP,Spain,Spain,47473373,47519628,Europe
61,EST,Estonia,Estonia,1319041,1322765,Europe
62,ETH,Ethiopia,Ethiopia,129719719,126527060,Africa
63,FIJ,Fiji,Fiji,943072,936375,Oceania
64,FIN,Finland,Finland,5549886,5545475,Europe
65,FRA,France,France,64881830,64756584,Europe
66,FSM,Micronesia,Federated States of Micronesia,116300,115224,Oceania
67,GAB,Gabon,Gabon,2484557,2436566,Africa
68,GAM,Gambia,Gambia,2841803,2773168,Africa
69,GBR,Great Britain,Great Britain,,,Europe
70,GBS,Guinea-Bissau,Guinea-Bissau,,,Africa
71,GEO,Georgia,Georgia,3717425,3728282,Asia
72,GEQ,Equatorial Guinea,Equatorial Guinea,1754993,1714671,Africa
73,GER,Germany,Germany,83252474,83294633,Europe
74,GHA,Ghana,Ghana,34777522,34121985,Africa
75,GRE,Greece,Greece,10302720,10341277,Europe
76,GRN,Grenada,Grenada,126887,126183,South America
77,GUA,Guatemala,Guatemala,18358430,18092026,North America
78,GUI,Guinea,Guinea,14528770,14190612,Africa
79,GUM,Guam,Guam,174114,172952,Oceania
80,GUY,Guyana,Guyana,819594,813834,South America
81,HAI,Haiti,Haiti,11867030,11724763,North America
82,HKG,"Hong Kong, China","Hong Kong, China",,,Asia
83,HON,Honduras,Honduras,10759406,10593798,North America
84,HUN,Hungary,Hungary,9994993,10156239,Europe
85,INA,Indonesia,Indonesia,279798049,277534122,Asia
86,IND,India,India,1441719852,1428627663,Asia
87,IRI,IR Iran,Islamic Republic of Iran,,,Asia
88,IRL,Ireland,Ireland,5089478,5056935,Europe
89,IRQ,Iraq,Iraq,46523657,45504560,Asia
