code,name,name_tv,country_code,country,country_full,height,weight,disciplines,events,birth_date,coach
1532872,ALEKSANYAN Artur,Artur ALEKSANYAN,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1991-10-21,"Gevorg Aleksanyan (ARM), father"
1532873,AMOYAN Malkhas,Malkhas AMOYAN,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-01-22,
1532874,GALSTYAN Slavik,Slavik GALSTYAN,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1996-12-21,Personal: Martin Alekhanyan (ARM).<br>National: Armen Babalaryan (ARM)
1532944,HARUTYUNYAN Arsen,Arsen HARUTYUNYAN,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Freestyle 57kg""]",1999-11-22,National: Habetnak Kurghinyan
1532945,TEVANYAN Vazgen,Vazgen TEVANYAN,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Freestyle 65kg""]",1999-10-27,National: Habetnak Kurghinyan (ARM)
1532951,ARENAS Lorena,Lorena ARENAS,COL,Colombia,Colombia,162,0.0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1993-09-17,Personal: Brent Vallance (AUS)
1533112,McKENZIE Ashley,Ashley McKENZIE,JAM,Jamaica,Jamaica,0,0.0,['Judo'],['Men -60 kg'],1989-07-17,Personal and National: Luke Preston (GBR)
1533136,BASS BITTAYE Gina Mariam,Gina Mariam BASS BITTAYE,GAM,Gambia,Gambia,161,0.0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1995-05-03,Personal: Christophe Belliard (FRA)
1533176,CAMARA Ebrahima,Ebrahima CAMARA,GAM,Gambia,Gambia,178,0.0,['Athletics'],"[""Men's 100m""]",1996-09-18,Personal: Christophe Belliard (FRA)
1533188,RUEDA SANTOS Lizeth,Lizeth RUEDA SANTOS,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Women's Individual""]",1994-03-07,Personal: Eugenio Chimal (MEX)
1533189,TAPIA VIDAL Rosa Maria,Rosa Maria TAPIA VIDAL,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Women's Individual""]",1997-08-27,Luis Miguel Chávez Rincón
1533190,GRAJALES Crisanto,Crisanto GRAJALES,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Men's Individual""]",1987-05-06,Personal: Eugenio Chimal (MEX)
1533208,MAAROUFOU Hachim,Hachim MAAROUFOU,COM,Comoros,Comoros,183,0.0,['Athletics'],"[""Men's 100m""]",1997-02-13,Personal: Franck Ne (FRA)
1533209,SAADI Maesha,Maesha SAADI,COM,Comoros,Comoros,0,0.0,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16,Personal: Marc-Olivier Froger
1533230,DIOSDADO Nuria,Nuria DIOSDADO,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22,National: Adriana Loftus (MEX)
1533231,JIMENEZ Joana,Joana JIMENEZ,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19,National: Adriana Loftus (MEX)
1533232,SOBRINO Jessica,Jessica SOBRINO,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],1994-05-26,National: Adriana Loftus (MEX)
1533234,ALFEREZ Regina,Regina ALFEREZ,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],1997-12-01,National: Adriana Loftus (MEX)
1533235,ARELLANO Fernanda,Fernanda ARELLANO,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],2002-02-28,National: Adriana Loftus (MEX)
1533237,TOSCANO Pamela,Pamela TOSCANO,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],2000-01-13,National: Adriana Loftus (MEX)
1533239,GONZALEZ Itzamary,Itzamary GONZALEZ,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],2003-11-14,National: Adriana Loftus (MEX)
1533240,RODRIGUEZ Samanta,Samanta RODRIGUEZ,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],1994-12-05,National: Adriana Loftus (MEX)
1533243,INZUNZA Glenda,Glenda INZUNZA,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],2000-03-12,
1533245,SEHEN Sajjad,Sajjad SEHEN,IRQ,Iraq,Iraq,0,0.0,['Judo'],['Men -81 kg'],1996-03-08,
1533359,RUBAIAWI Ali Ammar Yusur,Ali Ammar Yusur RUBAIAWI,IRQ,Iraq,Iraq,0,0.0,['Weightlifting'],"[""Men's +102kg""]",2004-08-02,
1533364,ISMAIL Mohamed,Mohamed ISMAIL,DJI,Djibouti,Djibouti,170,0.0,['Athletics'],"[""Men's 5000m""]",1997-01-01,Personal: Hussein Shibo (ETH)
1533371,HASSAN Ibrahim,Ibrahim HASSAN,DJI,Djibouti,Djibouti,170,0.0,['Athletics'],"[""Men's Marathon""]",1997-01-01,
1533372,WAISS Abdi,Abdi WAISS,DJI,Djibouti,Djibouti,170,0.0,['Athletics'],"[""Men's 5000m""]",1996-07-03,Personal: Hussein Shibo (ETH)
1533374,HASSAN NOUR Samiyah,Samiyah HASSAN NOUR,DJI,Djibouti,Djibouti,160,0.0,['Athletics'],"[""Women's 5000m""]",1999-12-05,Personal: Hussein Shibo (ETH)
1533378,HOUSSEIN BARKAT Houmed,Houmed HOUSSEIN BARKAT,DJI,Djibouti,Djibouti,0,0.0,['Swimming'],"[""Men's 50m Freestyle""]",2004-04-04,
1535180,BARAT Andy,Andy BARAT,COM,Comoros,Comoros,0,0.0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1997-11-29,Personal: Lukas Jacob
