edition,edition_id,year,country,country_noc,gold,silver,bronze,total
2002 Winter Olympics,47,2002,Norway,NOR,13,5,7,25
2002 Winter Olympics,47,2002,Germany,GER,12,16,8,36
2002 Winter Olympics,47,2002,United States,USA,10,13,11,34
2002 Winter Olympics,47,2002,Canada,CAN,7,3,7,17
2002 Winter Olympics,47,2002,Russian Federation,RUS,5,4,4,13
2002 Winter Olympics,47,2002,France,FRA,4,5,2,11
2002 Winter Olympics,47,2002,Italy,ITA,4,4,5,13
2002 Winter Olympics,47,2002,Finland,FIN,4,2,1,7
2002 Winter Olympics,47,2002,Netherlands,NED,3,5,0,8
2002 Winter Olympics,47,2002,Austria,AUT,3,4,10,17
2002 Winter Olympics,47,2002,Switzerland,SUI,3,2,6,11
2002 Winter Olympics,47,2002,Croatia,CRO,3,1,0,4
2002 Winter Olympics,47,2002,People's Republic of China,CHN,2,2,4,8
2002 Winter Olympics,47,2002,Republic of Korea,KOR,2,2,0,4
2002 Winter Olympics,47,2002,Australia,AUS,2,0,0,2
2002 Winter Olympics,47,2002,Czechia,CZE,1,2,0,3
2002 Winter Olympics,47,2002,Estonia,EST,1,1,1,3
2002 Winter Olympics,47,2002,Great Britain,GBR,1,0,1,2
2002 Winter Olympics,47,2002,Sweden,SWE,0,2,5,7
2002 Winter Olympics,47,2002,Bulgaria,BUL,0,1,2,3
2002 Winter Olympics,47,2002,Japan,JPN,0,1,1,2
2002 Winter Olympics,47,2002,Poland,POL,0,1,1,2
2002 Winter Olympics,47,2002,Belarus,BLR,0,0,1,1
2002 Winter Olympics,47,2002,Slovenia,SLO,0,0,1,1
2006 Winter Olympics,49,2006,Germany,GER,11,12,6,29
2006 Winter Olympics,49,2006,United States,USA,9,9,7,25
2006 Winter Olympics,49,2006,Austria,AUT,9,7,7,23
2006 Winter Olympics,49,2006,Russian Federation,RUS,8,6,8,22
2006 Winter Olympics,49,2006,Canada,CAN,7,10,7,24
2006 Winter Olympics,49,2006,Sweden,SWE,7,2,5,14
2006 Winter Olympics,49,2006,Republic of Korea,KOR,6,3,2,11
2006 Winter Olympics,49,2006,Switzerland,SUI,5,4,5,14
2006 Winter Olympics,49,2006,Italy,ITA,5,0,6,11
