medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Gold Medal,1,EVENEPOEL Remco,Belgium,BEL,Belgium,Cycling Road,Men's Individual Time Trial,2000-01-25,1903136
Silver Medal,2,GANNA Filippo,Italy,ITA,Italy,Cycling Road,Men's Individual Time Trial,1996-07-25,1923520
Bronze Medal,3,van AERT Wout,Belgium,BEL,Belgium,Cycling Road,Men's Individual Time Trial,1994-09-15,1903147
Gold Medal,1,BROWN Grace,Australia,AUS,Australia,Cycling Road,Women's Individual Time Trial,1992-07-07,1940173
Silver Medal,2,HENDERSON Anna,Great Britain,GBR,Great Britain,Cycling Road,Women's Individual Time Trial,1998-11-14,1912525
Bronze Medal,3,DYGERT Chloe,United States,USA,United States,Cycling Road,Women's Individual Time Trial,1997-01-01,1955079
Gold Medal,1,OH Sanguk,Korea,KOR,Korea,Fencing,Men's Sabre Individual,1996-09-30,1927149
Silver Medal,2,FERJANI Fares,Tunisia,TUN,Tunisia,Fencing,Men's Sabre Individual,1997-07-22,1937783
Bronze Medal,3,SAMELE Luigi,Italy,ITA,Italy,Fencing,Men's Sabre Individual,1987-07-25,1924595
Gold Medal,1,KONG Man Wai Vivian,"Hong Kong, China",HKG,"Hong Kong, China",Fencing,Women's Épée Individual,1994-02-08,1963262
Silver Medal,2,MALLO-BRETON Auriane,France,FRA,France,Fencing,Women's Épée Individual,1993-10-11,1916183
Bronze Medal,3,MUHARI Eszter,Hungary,HUN,Hungary,Fencing,Women's Épée Individual,2002-09-30,1946375
Gold Medal,1,SMETOV Yeldos,Kazakhstan,KAZ,Kazakhstan,Judo,Men -60 kg,1992-09-09,1935408
Silver Medal,2,MKHEIDZE Luka,France,FRA,France,Judo,Men -60 kg,1996-01-05,1891304
Bronze Medal,3,NAGAYAMA Ryuju,Japan,JPN,Japan,Judo,Men -60 kg,1996-04-15,1896752
Bronze Medal,3,GARRIGOS Francisco,Spain,ESP,Spain,Judo,Men -60 kg,1994-12-09,1563544
Gold Medal,1,TSUNODA Natsumi,Japan,JPN,Japan,Judo,Women -48 kg,1992-08-06,1896735
Silver Medal,2,BAVUUDORJ Baasankhuu,Mongolia,MGL,Mongolia,Judo,Women -48 kg,1999-11-26,1914467
Bronze Medal,3,BOUKLI Shirine,France,FRA,France,Judo,Women -48 kg,1999-01-24,1891280
Bronze Medal,3,BABULFATH Tara,Sweden,SWE,Sweden,Judo,Women -48 kg,2006-01-03,1571911
Gold Medal,1,MAERTENS Lukas,Germany,GER,Germany,Swimming,Men's 400m Freestyle,2001-12-27,1907192
Silver Medal,2,WINNINGTON Elijah,Australia,AUS,Australia,Swimming,Men's 400m Freestyle,2000-05-05,1946172
Bronze Medal,3,KIM Woomin,Korea,KOR,Korea,Swimming,Men's 400m Freestyle,2001-08-24,4654306
Gold Medal,1,TITMUS Ariarne,Australia,AUS,Australia,Swimming,Women's 400m Freestyle,2000-09-07,1946150
Silver Medal,2,McINTOSH Summer,Canada,CAN,Canada,Swimming,Women's 400m Freestyle,2006-08-18,1967140
Bronze Medal,3,LEDECKY Katie,United States,USA,United States,Swimming,Women's 400m Freestyle,1997-03-17,1935938
Gold Medal,1,FOX Jessica,Australia,AUS,Australia,Canoe Slalom,Women's Kayak Single,1994-06-11,1940205
Silver Medal,2,ZWOLINSKA Klaudia,Poland,POL,Poland,Canoe Slalom,Women's Kayak Single,1998-12-18,1942126
Bronze Medal,3,WOODS Kimberley,Great Britain,GBR,Great Britain,Canoe Slalom,Women's Kayak Single,1995-09-08,1896045
Gold Medal,1,FERRAND PREVOT Pauline,France,FRA,France,Cycling Mountain Bike,Women's Cross-country,1992-02-10,1895672
Silver Medal,2,BATTEN Haley,United States,USA,United States,Cycling Mountain Bike,Women's Cross-country,1998-09-19,1955070
Bronze Medal,3,RISSVEDS Jenny,Sweden,SWE,Sweden,Cycling Mountain Bike,Women's Cross-country,1994-06-06,1564023
Gold Medal,1,KANO Koki,Japan,JPN,Japan,Fencing,Men's Épée Individual,1997-12-19,1896548
Silver Medal,2,BOREL Yannick,France,FRA,France,Fencing,Men's Épée Individual,1988-11-05,1916194
Bronze Medal,3,ELSAYED Mohamed,Egypt,EGY,Egypt,Fencing,Men's Épée Individual,2003-03-03,1936462
Gold Medal,1,KIEFER Lee,United States,USA,United States,Fencing,Women's Foil Individual,1994-06-15,1950611
Silver Medal,2,SCRUGGS Lauren,United States,USA,United States,Fencing,Women's Foil Individual,2003-01-27,1950643
Bronze Medal,3,HARVEY Eleanor,Canada,CAN,Canada,Fencing,Women's Foil Individual,1995-01-14,1973213
Gold Medal,1,ABE Hifumi,Japan,JPN,Japan,Judo,Men -66 kg,1997-08-09,1896763
Silver Medal,2,LIMA Willian,Brazil,BRA,Brazil,Judo,Men -66 kg,2000-01-31,1953840
